,Model,mAP,FN_count,mean_center_distance
0,best_1024T0.6,0.12988978101116813,3603,11.682797456613779
1,best_736T0.4,0.11332295970874795,3701,11.387657903358049
2,best_736T0.2,0.12084568598870701,3691,11.387404185068949
3,best_1024T0.8,0.12265397863972673,3624,11.668727917198034
4,best_640T0.2,0.09875715465190035,3765,11.834960044710705
5,best_640T0.4,0.09112936630876972,3771,11.84001928092276
6,best_1024T0.2,0.12285617086744273,3583,11.712314422813142
7,best_736T0.6,0.11448931792759535,3725,11.35986153623208
8,best_736T0.8,0.12319959392526694,3793,11.335952939927108
9,best_640T0.6,0.08882383174052416,3779,11.834171465702616
10,best_640T0.8,0.08070924479216669,3821,11.745796935353436
11,best_1024T0.4,0.11603943805984566,3593,11.69700776949714
