,Model,MCD,FNR,FPR
0,best_1024T0.6-THRESH-10,6.855499771342503,0.7937086092715232,0.8051324503311258
1,best_736T0.4-THRESH-10,6.7396568412465445,0.7693708609271523,0.7498344370860928
2,best_736T0.2-THRESH-10,6.748327517029132,0.7675496688741722,0.7771523178807948
3,best_1024T0.8-THRESH-10,6.859808968667058,0.7951986754966888,0.756953642384106
4,best_640T0.2-THRESH-10,6.753462872608897,0.7814569536423841,0.8135761589403974
5,best_640T0.4-THRESH-10,6.784608771021124,0.783112582781457,0.7811258278145695
6,best_1024T0.2-THRESH-10,6.8575995639780265,0.7912251655629139,0.8887417218543047
7,best_736T0.6-THRESH-10,6.726616364934994,0.7723509933774835,0.7253311258278146
8,best_736T0.8-THRESH-10,6.725481469267815,0.7806291390728477,0.68658940397351
9,best_640T0.6-THRESH-10,6.778937472722063,0.7842715231788079,0.7660596026490066
10,best_640T0.8-THRESH-10,6.779852352471686,0.7884105960264901,0.7341059602649006
11,best_1024T0.4-THRESH-10,6.857689239081399,0.7922185430463576,0.8412251655629139
12,best_1024T0.6-THRESH-20,12.84576935188922,0.31506622516556293,0.3264900662251656
13,best_736T0.4-THRESH-20,12.568404482137211,0.31125827814569534,0.2915562913907285
14,best_736T0.2-THRESH-20,12.566658902200931,0.3049668874172185,0.31440397350993377
15,best_1024T0.8-THRESH-20,12.852554790609108,0.323841059602649,0.2855960264900662
16,best_640T0.2-THRESH-20,12.616579656621063,0.30794701986754963,0.3390728476821192
17,best_640T0.4-THRESH-20,12.638465550543252,0.3109271523178808,0.30844370860927156
18,best_1024T0.2-THRESH-20,12.84800262989819,0.3071192052980133,0.40430463576158937
19,best_736T0.6-THRESH-20,12.576761544221503,0.3216887417218543,0.27466887417218544
20,best_736T0.8-THRESH-20,12.591106665666437,0.34569536423841063,0.25165562913907286
21,best_640T0.6-THRESH-20,12.627223468885116,0.3162251655629139,0.29751655629139073
22,best_640T0.8-THRESH-20,12.612016650007606,0.33294701986754965,0.2783112582781457
23,best_1024T0.4-THRESH-20,12.846069781665978,0.31076158940397347,0.3597682119205298
24,best_1024T0.6-THRESH-30,15.407955517872601,0.12466887417218543,0.13609271523178806
25,best_736T0.4-THRESH-30,15.146226442338705,0.13079470198675497,0.11092715231788079
26,best_736T0.2-THRESH-30,15.166776488798437,0.12003311258278146,0.1291390728476821
27,best_1024T0.8-THRESH-30,15.422445287875581,0.1365894039735099,0.09834437086092715
28,best_640T0.2-THRESH-30,15.379060784737439,0.11572847682119206,0.14602649006622517
29,best_640T0.4-THRESH-30,15.380594654001442,0.12019867549668874,0.11738410596026491
30,best_1024T0.2-THRESH-30,15.411791569227564,0.11407284768211921,0.21092715231788078
31,best_736T0.6-THRESH-30,15.144188601461725,0.14503311258278145,0.09801324503311257
32,best_736T0.8-THRESH-30,15.143750186691022,0.17665562913907285,0.0826158940397351
33,best_640T0.6-THRESH-30,15.365814471258266,0.12798013245033113,0.10894039735099337
34,best_640T0.8-THRESH-30,15.335984109749823,0.15397350993377484,0.09900662251655629
35,best_1024T0.4-THRESH-30,15.40307282508288,0.11920529801324505,0.16821192052980133
