,Model,mAP,FN_count,mean_center_distance
0,airSim_640T0.2,0.8314353246817028,198,3.8186241725949035
1,airSim_640T0.8,0.8115682317172738,420,3.6702663333678474
2,airSim_640T0.4,0.8257513237755325,219,3.8043201093661354
3,airSim_640T0.6,0.8292586216303123,258,3.7851966625557325
