,Model,mAP,FN_count,mean_center_distance
0,airSim_640T0.2,0.8314353246817028,198,26.027304139980235
1,airSim_640T0.8,0.8115682317172738,420,21.675828608897813
2,airSim_640T0.4,0.8257513237755325,219,25.80869807309234
3,airSim_640T0.6,0.8292586216303123,258,25.594663102155042
