id;ts[s];lat[deg];lon[deg];alt[deg];ivx[m/s];ivy[m/s];ivz[m/s];gvx[rad/s];gvy[rad/s];gvz[rad/s];drone_or_x[rad];drone_or_y[rad];drone_or_z[rad];drone_or_q_x;drone_or_q_y;drone_or_q_z;drone_or_q_w;distance;collision;drone_x[m];drone_y[m];drone_z[m];pressure[Pa];qnh[hPa]
0;1663137056913889792;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.003591451793909073;-0.0005625189514830709;4.253601946402341e-05;0.0;0.0;1.5707954496293248;-0.0;0.0;0.7071065306663513;0.7071070671081543;-0.26987800002098083;False;0.0;0.0;-0.0;99862.59375;1013.25
1;1663137056922889984;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.002589412033557892;-0.0012689577415585518;-0.0020814004819840193;-4.090866694855293e-12;-0.16213426367151748;1.5707953946278261;0.05726033076643944;-0.05726037919521332;0.7047842144966125;0.7047848105430603;-0.26987800002098083;False;2.799999952316284;-4.399278163909912;-5.223031044006348;99862.59375;1013.25
2;1663137056934890240;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;-0.004094462376087904;0.6202713251113892;-0.0005239121383056045;8.981702685160698e-09;-0.19538127441622155;1.5707955092952677;0.06896781921386719;-0.06896786391735077;0.7037349939346313;0.7037355899810791;5.0910186767578125;False;2.799999952316284;-4.39851188659668;-5.237316131591797;99800.671875;1013.25
3;1663137056943890432;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.00027132502873428166;1.3243613243103027;-0.0026940100360661745;-5.254459573985955e-09;-0.23534349799087728;1.5707955426208597;0.06896781921386719;-0.06896786391735077;0.7037349939346313;0.7037355899810791;5.0910186767578125;False;2.799999952316284;-4.39851188659668;-5.237316131591797;99800.671875;1013.25
4;1663137056952890624;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;-0.0012943551409989595;1.7903318405151367;-0.003321209689602256;7.463553877972475e-09;-0.2628502548910618;1.5707953174821943;0.09617678821086884;-0.09617685526609421;0.700535237789154;0.7005358338356018;5.482216835021973;False;2.799999952316284;-4.395616054534912;-5.270851135253906;99804.015625;1013.25
5;1663137056961890816;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.0007448379183188081;1.951707363128662;0.0027576214633882046;3.019904588446234e-08;-0.29225471466197744;1.5707954927480225;0.10500378906726837;-0.10500386357307434;0.6992666125297546;0.6992672085762024;5.482216835021973;False;2.799999952316284;-4.392990589141846;-5.28676176071167;99804.015625;1013.25
6;1663137056970891008;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;-0.0006615144084207714;1.9501409530639648;0.00033355422783643007;1.9298371706354934e-08;-0.31639958927548945;1.5707954148093313;0.11549898982048035;-0.11549907177686691;0.6976098418235779;0.6976104378700256;5.482216835021973;False;2.799999952316284;-4.390343189239502;-5.30112886428833;99804.015625;1013.25
7;1663137056979891200;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.00014888757141306996;1.9527127742767334;-0.001798244658857584;5.175124547646977e-08;-0.34432008018170673;1.570795357645851;0.127225860953331;-0.12722595036029816;0.695566713809967;0.6955674290657043;5.6416850090026855;False;2.799999952316284;-4.386385440826416;-5.317994117736816;99802.6953125;1013.25
8;1663137056988891392;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.0016273659421131015;2.06270694732666;5.606724153039977e-05;5.811205009019647e-08;-0.36373582705801155;1.5707956691544984;0.1300189048051834;-0.13001896440982819;0.6950501799583435;0.6950507164001465;5.6416850090026855;False;2.799999952316284;-4.382107734680176;-5.3274688720703125;99802.6953125;1013.25
9;1663137056997891584;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;-0.002199270762503147;2.256411552429199;-0.0004568761505652219;8.233536863100881e-08;-0.3593086212076075;1.5707953077685886;0.1286741942167282;-0.12867431342601776;0.6953001618385315;0.6953009963035583;6.109365463256836;False;2.799999952316284;-4.376307964324951;-5.341493606567383;99808.046875;1013.25
10;1663137057006891776;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.0023740127217024565;2.3971173763275146;0.0030466862954199314;3.813356368488654e-08;-0.30971683904970176;1.5707955055403657;0.10906411707401276;-0.10906419157981873;0.6986448168754578;0.6986454129219055;6.109365463256836;False;2.799999952316284;-4.369396686553955;-5.352639198303223;99808.046875;1013.25
11;1663137057018892032;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;0.0019749156199395657;2.193390369415283;0.00024265800311695784;1.5129297004648895e-08;-0.2585456228233495;1.5707955119079522;0.10906411707401276;-0.10906419157981873;0.6986448168754578;0.6986454129219055;5.393858432769775;False;2.799999952316284;-4.369396686553955;-5.352639198303223;99800.34375;1013.25
12;1663137057030892288;47.64141176539632;-122.14003967263456;122.09186553955078;0.0;0.0;0.0;-0.00209123850800097;1.6331138610839844;0.00023041096574161202;-1.622208461551912e-08;-0.23305862266489966;1.5707956380452524;0.08595532923936844;-0.08595538884401321;0.7018627524375916;0.7018632888793945;5.393858432769775;False;2.799999952316284;-4.354898452758789;-5.377260684967041;99800.34375;1013.25
