id;marker1_x[m];marker1_y[m];marker1_z[m];marker2_x[m];marker2_y[m];marker2_z[m];marker3_x[m];marker3_y[m];marker3_z[m];marker4_x[m];marker4_y[m];marker4_z[m]
0;5.7220457705398076e-08;0.07500000298023224;0.1505555659532547;-6.67572024326546e-08;-0.07500000298023224;0.1456172913312912;-0.07000001519918442;0.015000051818788052;0.14013031125068665;0.07999998331069946;0.014999942854046822;0.134033665060997
1;-2.50600004196167;3.5360162258148193;-3.105654239654541;-2.50600004196167;3.392897367477417;-3.150834560394287;-2.5759999752044678;3.481045961380005;-3.131863594055176;-2.4260001182556152;3.4826889038085938;-3.1377346515655518
2;-2.5139994621276855;3.533299684524536;-3.1599831581115723;-2.5139994621276855;3.3952279090881348;-3.2188093662261963;-2.5839996337890625;3.481125831604004;-3.191392183303833;-2.433999538421631;3.4833292961120605;-3.1970765590667725
3;-2.521998167037964;3.5813112258911133;-3.2130563259124756;-2.521998167037964;3.4369359016418457;-3.2540459632873535;-2.591998338699341;3.5256001949310303;-3.23765230178833;-2.44199800491333;3.527071475982666;-3.2435686588287354
4;-2.527996301651001;3.6162333488464355;-3.2479944229125977;-2.52799654006958;3.4696218967437744;-3.2800796031951904;-2.597996473312378;3.5591228008270264;-3.2691378593444824;-2.4479963779449463;3.5602293014526367;-3.2751333713531494
5;-2.5379908084869385;3.6743059158325195;-3.28572940826416;-2.5379910469055176;3.525714635848999;-3.3068249225616455;-2.6079909801483154;3.61578106880188;-3.302567958831787;-2.457990884780884;3.616438865661621;-3.308629035949707
6;-2.5459835529327393;3.7277138233184814;-3.3143653869628906;-2.5459837913513184;3.578392505645752;-3.3294496536254883;-2.615983486175537;3.668557643890381;-3.328829765319824;-2.4659836292266846;3.6689703464508057;-3.3349123001098633
7;-2.55397367477417;3.779923677444458;-3.3205089569091797;-2.55397367477417;3.630258083343506;-3.331670045852661;-2.6239736080169678;3.7204082012176514;-3.333415985107422;-2.4739737510681152;3.720661163330078;-3.339507579803467
8;-2.561959743499756;3.830779552459717;-3.3460397720336914;-2.561959743499756;3.6809749603271484;-3.3551456928253174;-2.6319596767425537;3.771092653274536;-3.358128786087036;-2.481959819793701;3.7712621688842773;-3.3642232418060303
9;-2.5699424743652344;3.8822362422943115;-3.359713315963745;-2.5699424743652344;3.7323505878448486;-3.3673760890960693;-2.6399426460266113;3.8224356174468994;-3.3712270259857178;-2.4899425506591797;3.8225462436676025;-3.3773226737976074
