id;pos_x[m];pos_y[m];pos_z[m];or_x[rad];or_y[rad];or_z[rad];or_q_x;or_q_y;or_q_z;or_q_w
0;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
1;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
2;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
3;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
4;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
5;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
6;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
7;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
8;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
9;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
10;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
11;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
12;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
13;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
14;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
15;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
16;-3.0;-2.5;-2.233870267868042;0.0;0.0;1.5707956182169394;-0.0;0.0;0.7071065306663513;0.7071070671081543
